PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
nyj,NYJNYJ,153010332,3139062,8255570,153010332,5.31,8.15,21.61,4.27,33.75,73.09,18.19,17.11,40.75,76.05,1.77,0.62,0.88,3.27,153.01,3.47,5.33,14.12,2.79,22.06,11.89,11.18,26.63,1.16,0.41,0.58,47.77,49.7,2.14,100.0,2015,2025-08-15 15:18:42,NYJ,27,-,53,26.7,135479685,9275077
phi,PHIPHI,150325196,9547182,19396358,150325196,17.68,15.05,11.55,6.91,28.22,79.41,18.61,20.95,27.36,66.92,0.85,2.08,1.07,4.0,150.33,11.76,10.01,7.68,4.6,18.77,12.38,13.94,18.2,0.57,1.38,0.71,52.83,44.52,2.66,100.0,2015,2025-08-15 15:18:42,PHI,11,-,53,26.7,123889910,7038928
sea,SEASEA,147364599,893139,19635133,147364599,8.56,10.39,17.89,10.65,15.58,63.07,29.18,13.86,34.29,77.33,3.33,1.5,0.85,5.68,147.36,5.81,7.05,12.14,7.23,10.57,19.8,9.41,23.27,2.26,1.02,0.58,42.8,52.48,3.85,100.0,2015,2025-08-15 15:18:42,SEA,32,-,53,26.4,114840985,12551881
min,MINMIN,147022479,2605481,9150229,147022479,5.27,16.96,22.3,8.96,29.94,83.43,26.54,12.12,20.58,59.24,2.24,0.63,0.89,3.76,147.02,3.58,11.54,15.17,6.09,20.36,18.05,8.24,14.0,1.52,0.43,0.61,56.75,40.29,2.56,100.0,2015,2025-08-15 15:18:42,MIN,28,-,53,26.1,118160753,19711497
car,CARCAR,145230447,4141190,15374865,145230447,15.43,14.33,13.08,9.18,21.78,73.8,31.53,17.94,13.73,63.2,3.1,0.68,1.03,4.8100000000000005,145.23,10.62,9.87,9.01,6.32,15.0,21.71,12.35,9.45,2.13,0.47,0.71,50.82,43.52,3.31,100.0,2015,2025-08-15 15:18:42,CAR,20,-,53,27.0,121004274,8785308
den,DENDEN,145098899,4967125,6148288,145098899,19.16,2.53,23.1,8.38,26.77,79.94000000000003,10.21,24.55,25.19,59.95,1.32,2.35,0.85,4.52,145.1,13.2,1.74,15.92,5.78,18.45,7.04,16.92,17.36,0.91,1.62,0.59,55.09,41.32,3.12,100.0,2015,2025-08-15 15:18:42,DEN,18,-,53,26.7,134668943,4281668
mia,MIAMIA,144878936,8048001,30559418,144878936,7.5,3.52,18.88,6.48,24.93,61.31,34.53,17.87,28.2,80.60000000000002,0.47,1.31,1.18,2.96,144.88,5.18,2.43,13.03,4.47,17.21,23.83,12.33,19.46,0.32,0.9,0.81,42.32,55.63,2.04,100.0,2015,2025-08-15 15:18:42,MIA,14,-,52,25.4,90566641,23752877
crd,ARIARI,144707976,3807890,12809409,144707976,11.86,2.81,18.6,5.46,32.84,71.57000000000002,29.36,14.47,27.01,70.84,0.51,1.13,0.67,2.31,144.71,8.2,1.94,12.85,3.77,22.69,20.29,10.0,18.67,0.35,0.78,0.46,49.46,48.95,1.6,100.0,2015,2025-08-15 15:18:42,ARI,23,-,52,26.6,120691340,11207227
cin,CINCIN,143913511,8216924,4848065,143913511,10.41,4.07,19.37,3.46,26.2,63.51000000000001,26.68,21.97,25.52,74.17,1.95,2.77,0.9,5.62,143.91,7.23,2.83,13.46,2.4,18.21,18.54,15.27,17.73,1.35,1.92,0.63,44.13,51.54,3.91,100.0,2015,2025-08-15 15:18:42,CIN,13,-,53,26.5,134100760,4964686
clt,INDIND,143402177,9021215,14263153,143402177,11.26,6.29,13.84,4.16,19.33,54.88,16.49,32.99,31.78,81.26,2.75,3.2,1.3,7.25,143.4,7.85,4.39,9.65,2.9,13.48,11.5,23.01,22.16,1.92,2.23,0.91,38.27,56.67,5.06,100.0,2015,2025-08-15 15:18:42,IND,12,-,52,27.2,108214835,20924189
det,DETDET,143215794,1102197,21236686,143215794,18.68,9.17,26.11,7.77,11.27,73.0,34.86,13.71,18.39,66.96000000000001,1.48,0.63,0.67,2.78,143.22,13.04,6.4,18.23,5.43,7.87,24.34,9.57,12.84,1.03,0.44,0.47,50.97,46.75,1.94,100.0,2015,2025-08-15 15:18:42,DET,31,-,53,26.5,107062153,14916955
nor,NONO,143214027,1878403,34853706,143214027,25.36,6.3,10.31,13.07,24.8,79.84,12.76,22.39,22.29,57.44,0.59,3.47,0.88,4.94,143.21,17.71,4.4,7.2,9.13,17.32,8.91,15.63,15.56,0.41,2.42,0.61,55.75,40.11,3.45,100.0,2015,2025-08-15 15:18:42,NO,30,-,53,27.1,93560943,14799378
gnb,GBGB,141856037,9615069,5436397,141856037,19.94,4.09,12.58,3.35,21.19,61.15000000000001,24.35,25.18,24.17,73.7,3.55,1.34,1.03,5.92,141.86,14.06,2.88,8.87,2.36,14.94,17.17,17.75,17.04,2.5,0.94,0.73,43.11,51.95,4.17,100.0,2015,2025-08-15 15:18:42,GB,10,-,52,25.8,125157906,11235334
chi,CHICHI,141512728,3655706,29022282,141512728,17.84,11.81,18.62,7.53,17.74,73.53999999999998,18.7,23.08,20.91,62.69,3.6,0.57,1.11,5.28,141.51,12.61,8.35,13.16,5.32,12.54,13.21,16.31,14.78,2.54,0.4,0.78,51.97,44.3,3.73,100.0,2015,2025-08-15 15:18:42,CHI,24,-,53,26.2,89976736,22513710
