PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,DeadCap_Pct,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
sfo,SFSF,220650341,10581233,25590420,117.24,5.62,13.6,220650341,21.55,12.82,23.82,4.75,39.73,102.67,48.68,26.32,32.15,107.15,4.02,0.69,0.27,4.979999999999999,220.65,117.24,5.62,88.5,15.15,13.6,9.77,5.81,10.8,2.15,18.01,22.06,11.93,14.57,1.82,0.31,0.12,46.53,48.56,2.26,2019,2025-08-15 15:24:42,SF,19,13-3-0,53,26.1,166552577,28507344
atl,ATLATL,216837961,-27098170,28319421,115.22,-14.4,15.05,216837961,20.2,12.22,22.48,8.67,44.87,108.44,47.3,9.77,38.55,95.62,5.66,3.65,1.86,11.17,216.84,115.22,-14.4,79.76,20.25,15.05,9.32,5.64,10.37,4.0,20.69,21.81,4.51,17.78,2.61,1.68,0.86,50.01,44.1,5.15,2019,2025-08-15 15:24:42,ATL,32,7-9-0,84,26.4,150100357,38114183
cle,CLECLE,212753859,32328127,32279494,113.05,17.18,17.15,212753859,11.91,6.68,37.91,8.14,44.86,109.5,42.19,18.18,40.73,101.1,0.6,0.5,0.81,1.91,212.75,113.05,17.18,82.97,12.92,17.15,5.6,3.14,17.82,3.83,21.09,19.83,8.55,19.14,0.28,0.24,0.38,51.47,47.52,0.9,2019,2025-08-15 15:24:42,CLE,2,6-10-0,53,25.2,156151812,24322553
pit,PITPIT,206404929,493991,34440395,109.67,0.26,18.3,206404929,28.23,3.02,28.74,9.08,38.7,107.77,31.79,28.44,30.27,90.5,4.2,1.53,0.72,6.45,206.4,109.67,0.26,68.94,22.43,18.3,13.68,1.46,13.92,4.4,18.75,15.4,13.78,14.67,2.03,0.74,0.35,52.21,43.85,3.12,2019,2025-08-15 15:24:42,PIT,30,8-8-0,53,25.7,129754417,42210117
htx,HOUHOU,198106556,16210695,27378439,105.26,8.61,14.55,198106556,8.0,13.17,31.6,4.27,33.77,90.81,25.95,35.4,40.39,101.74,3.1,0.97,0.98,5.050000000000002,198.11,105.26,8.61,77.48,13.23,14.55,4.04,6.65,15.95,2.16,17.05,13.1,17.87,20.39,1.56,0.49,0.49,45.84,51.36,2.55,2019,2025-08-15 15:24:42,HOU,11,10-6-0,53,26.6,145821737,24906380
oti,TENTEN,197086185,20789952,13858861,104.72,11.05,7.36,197086185,27.09,7.76,17.16,8.22,38.97,99.2,27.21,21.26,40.14,88.61,4.27,2.95,1.27,8.49,197.09,104.72,11.05,81.18,16.18,7.36,13.75,3.94,8.71,4.17,19.77,13.81,10.79,20.37,2.17,1.5,0.64,50.33,44.96,4.31,2019,2025-08-15 15:24:42,TEN,7,9-7-0,52,26.1,152774763,30452561
clt,INDIND,196100572,41745481,24497343,104.2,22.18,13.02,196100572,31.28,3.77,32.11,14.4,29.66,111.22,38.13,5.58,32.61,76.32,3.99,3.0,1.57,8.56,196.1,104.2,22.18,75.67,15.51,13.02,15.95,1.92,16.37,7.34,15.12,19.44,2.85,16.63,2.03,1.53,0.8,56.72,38.92,4.37,2019,2025-08-15 15:24:42,IND,1,7-9-0,53,25.7,142403804,29183425
nwe,NENE,194988547,5384876,25721180,103.61,2.86,13.67,194988547,24.45,12.39,28.96,5.54,25.91,97.25,16.88,25.47,49.04,91.39,3.07,0.67,0.96,4.699999999999998,194.99,103.61,2.86,83.23,6.7,13.67,12.54,6.35,14.85,2.84,13.29,8.66,13.06,25.15,1.57,0.34,0.49,49.87,46.87,2.41,2019,2025-08-15 15:24:42,NE,23,12-4-0,53,27.6,156633955,12609412
nyg,NYGNYG,194612924,1492067,55156416,103.41,0.79,29.31,194612924,30.13,8.79,32.42,10.0,30.05,111.39,14.23,35.94,29.93,80.1,0.65,0.89,0.94,2.48,194.61,103.41,0.79,66.47,7.63,29.31,15.48,4.52,16.66,5.14,15.44,7.31,18.47,15.38,0.33,0.46,0.48,57.24,41.16,1.27,2019,2025-08-15 15:24:42,NYG,28,4-12-0,53,25.7,125098384,14358124
crd,ARIARI,192019927,1585204,50898166,102.03,0.84,27.04,192019927,24.58,12.43,20.28,9.65,39.79,106.73,15.56,35.3,30.68,81.53999999999998,0.65,2.06,1.05,3.76,192.02,102.03,0.84,62.88,12.03,27.04,12.8,6.47,10.56,5.03,20.72,8.1,18.38,15.98,0.34,1.07,0.55,55.58,42.46,1.96,2019,2025-08-15 15:24:42,ARI,27,5-10-1,53,25.8,118348287,22637474
