PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Effective_Cap,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,OFF,DEF,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
car,CARCAR,175448311,4483933,12130270,163318041,23.02,11.37,10.4,15.96,26.73,87.48,36.26,27.88,14.92,79.06,4.65,2.4,1.04,8.09,175.45,14.1,6.96,6.37,9.77,16.37,22.2,17.07,9.14,2.85,1.47,0.64,53.56,48.41,4.95,107.43,2017,2025-08-15 15:19:00,CAR,86.91M,79.06M,22,-,51,27.4,144363005,18955036
was,WASWAS,174807970,1758695,12634355,162173615,27.62,5.15,12.46,11.84,36.03,93.1,16.32,25.07,36.88,78.27000000000002,0.88,1.5,1.05,3.43,174.81,17.03,3.18,7.68,7.3,22.22,10.06,15.46,22.74,0.54,0.92,0.65,57.41,48.26,2.12,107.79,2017,2025-08-15 15:19:00,WAS,92.07M,78.27M,27,-,54,26.0,114359646,47357539
phi,PHIPHI,172566936,3776455,19582640,152984296,19.96,8.79,20.91,10.0,35.14,94.8,37.35,15.59,21.34,74.28,1.49,1.38,0.63,3.5,172.57,13.05,5.75,13.67,6.54,22.97,24.41,10.19,13.95,0.97,0.9,0.41,61.97,48.55,2.29,112.8,2017,2025-08-15 15:19:00,PHI,94.02M,74.28M,24,-,53,26.5,130626348,22357948
mia,MIAMIA,171947683,38597,20045967,151901716,33.19,3.76,10.13,9.68,26.82,83.58,44.29,14.49,27.74,86.52,0.69,0.47,0.7,1.86,171.95,21.85,2.48,6.67,6.37,17.66,29.16,9.54,18.26,0.45,0.31,0.46,55.02,56.96,1.22,113.2,2017,2025-08-15 15:19:00,MIA,82.38M,86.51M,32,-,53,26.2,102474406,49427310
jax,JAXJAX,171292956,34574646,11295119,159997837,10.18,14.12,14.25,10.88,25.35,74.78,46.64,13.13,31.83,91.6,0.62,1.9,1.58,4.1,171.29,6.36,8.83,8.91,6.8,15.84,29.15,8.21,19.89,0.39,1.19,0.99,46.74,57.25,2.56,107.06,2017,2025-08-15 15:19:00,JAX,75.02M,91.59M,3,-,53,25.7,151852626,8145211
crd,ARIARI,169351526,2475592,7526798,161824728,29.43,4.3,21.99,6.21,29.48,91.41,12.2,24.52,36.37,73.09,2.5,1.41,0.87,4.78,169.35,18.19,2.66,13.59,3.84,18.22,7.54,15.15,22.47,1.54,0.87,0.54,56.49,45.17,2.95,104.65,2017,2025-08-15 15:19:00,ARI,90.90M,73.09M,25,-,53,27.0,104474970,57220158
gnb,GBGB,168491403,6583373,12069022,156422381,21.45,3.17,31.72,6.94,29.1,92.38,17.02,28.63,23.55,69.2,3.6,1.09,1.37,6.0600000000000005,168.49,13.71,2.03,20.28,4.44,18.6,10.88,18.3,15.06,2.3,0.7,0.88,59.06,44.24,3.87,107.71,2017,2025-08-15 15:19:00,GB,91.22M,69.20M,18,-,53,25.6,115603840,40818541
kan,KCKC,167778858,2374735,16051403,151727455,21.42,4.43,7.99,7.56,26.94,68.34,24.24,42.91,22.45,89.6,2.18,4.9,0.73,7.81,167.78,14.12,2.92,5.27,4.98,17.76,15.98,28.28,14.8,1.44,3.23,0.48,45.04,59.05,5.15,110.58,2017,2025-08-15 15:19:00,KC,70.09M,89.60M,26,-,51,26.3,135438141,16289314
chi,CHICHI,167722301,6689489,13239031,154483270,23.18,2.91,17.32,10.04,32.55,86.0,16.48,33.62,26.47,76.57,2.49,0.72,1.31,4.52,167.72,15.0,1.88,11.21,6.5,21.07,10.67,21.76,17.13,1.61,0.47,0.85,55.67,49.57,2.93,108.57,2017,2025-08-15 15:19:00,CHI,84.60M,76.57M,17,-,53,26.1,110629152,43846918
nyg,NYGNYG,167429914,288932,10080895,157349019,21.56,6.93,17.33,5.1,22.94,73.86,40.6,14.96,33.66,89.22,0.72,1.8,1.3,3.82,167.43,13.7,4.4,11.01,3.24,14.58,25.8,9.51,21.39,0.46,1.14,0.83,46.94,56.7,2.43,106.41,2017,2025-08-15 15:19:00,NYG,73.30M,89.22M,31,-,54,25.6,104596283,52752736
sea,SEASEA,167367602,1741563,7356310,160011292,15.45,6.68,9.65,12.72,22.73,67.23,32.36,19.34,45.23,96.93,1.03,1.6,0.54,3.17,167.37,9.66,4.17,6.03,7.95,14.21,20.22,12.09,28.27,0.64,1.0,0.34,42.02,60.58,1.98,104.6,2017,2025-08-15 15:19:00,SEA,64.67M,96.93M,28,-,53,26.0,126625244,33335648
atl,ATLATL,166313787,1594641,8459139,157854648,27.32,6.13,28.24,4.0,26.36,92.05,38.52,5.19,23.18,66.89,3.1,2.7,0.88,6.6800000000000015,166.31,17.31,3.88,17.89,2.53,16.7,24.4,3.29,14.68,1.96,1.71,0.56,58.31,42.37,4.23,105.36,2017,2025-08-15 15:19:00,ATL,91.93M,66.20M,29,-,53,26.8,147393869,10460779
rai,OAKOAK,164442467,9775008,4390741,160051726,17.07,3.98,21.68,7.89,44.62,95.24,14.26,11.75,34.28,60.29,3.88,2.55,0.7,7.13,164.44,10.67,2.49,13.55,4.93,27.88,8.91,7.34,21.42,2.42,1.59,0.44,59.51,37.67,4.45,102.74,2017,2025-08-15 15:19:00,OAK,95.81M,60.29M,14,-,53,26.2,144377592,15674134
nwe,NENE,163713427,3847061,7226565,156486862,15.36,11.09,19.87,13.09,23.06,82.47,13.92,18.72,40.15,72.78999999999998,4.5,1.9,0.69,7.09,163.71,9.82,7.09,12.7,8.36,14.74,8.9,11.96,25.66,2.88,1.21,0.44,52.7,46.52,4.53,104.62,2017,2025-08-15 15:19:00,NE,80.58M,72.79M,23,-,52,27.2,129468455,26316207
pit,PITPIT,163380183,5498476,11859437,151520746,21.01,13.48,18.08,8.34,39.45,100.36,15.96,17.3,25.05,58.31,2.82,0.62,0.65,4.09,163.38,13.87,8.9,11.93,5.5,26.04,10.53,11.42,16.53,1.86,0.41,0.43,66.24,38.48,2.7,107.83,2017,2025-08-15 15:19:00,PIT,100.20M,58.31M,19,-,53,26.3,145814413,5091333
nor,NONO,161717460,1434963,25613267,136104193,20.98,11.31,8.36,13.5,34.41,88.56,25.28,16.06,24.9,66.24000000000001,0.54,4.7,,5.24,161.72,15.41,8.31,6.14,9.92,25.28,18.57,11.8,18.29,0.4,3.45,,65.07,48.67,3.85,118.82,2017,2025-08-15 15:19:00,NO,89.83M,66.24M,30,-,51,26.1,97762121,37652072
cin,CINCIN,161691563,11193103,4148865,157542698,16.8,7.77,24.5,7.18,17.74,73.99,27.88,18.79,33.66,80.33,0.89,3.17,1.05,5.1099999999999985,161.69,10.66,4.93,15.55,4.56,11.26,17.7,11.93,21.37,0.56,2.01,0.67,46.97,50.99,3.24,102.63,2017,2025-08-15 15:19:00,CIN,76.20M,80.32M,13,-,52,25.6,128091070,29451628
det,DETDET,161081019,7312612,10914815,150166204,17.27,5.55,19.42,5.91,25.32,73.47,30.99,16.09,30.57,77.65,5.23,3.9,0.75,9.88,161.08,11.5,3.7,12.93,3.94,16.86,20.64,10.71,20.36,3.48,2.6,0.5,48.93,51.71,6.58,107.27,2017,2025-08-15 15:19:00,DET,70.25M,77.64M,16,-,52,26.0,130190524,19975680
dal,DALDAL,159808251,9111598,26658546,133149705,13.45,9.32,26.28,16.67,26.31,92.03,25.86,15.67,18.62,60.15000000000001,4.18,1.55,1.22,6.949999999999998,159.81,10.1,7.0,19.74,12.52,19.76,19.42,11.77,13.98,3.14,1.16,0.92,69.12,45.17,5.22,120.02,2017,2025-08-15 15:19:00,DAL,92.68M,60.14M,15,-,54,25.5,114468318,18609387
ram,LARLAR,156886564,5094547,10001580,146884984,8.86,6.76,25.69,3.36,24.46,69.13,19.25,34.25,29.62,83.12,1.68,1.42,0.88,3.98,156.89,6.03,4.6,17.49,2.29,16.65,13.11,23.32,20.17,1.14,0.97,0.6,47.06,56.59,2.71,106.81,2017,2025-08-15 15:19:00,LAR,68.99M,83.12M,20,-,53,25.4,137063130,9821854
cle,CLECLE,156664052,59915427,46236097,110427955,20.02,4.5,11.7,4.93,45.77,86.92,16.9,25.01,22.1,64.00999999999999,0.49,3.15,1.47,5.1099999999999985,156.66,18.13,4.08,10.6,4.46,41.45,15.3,22.65,20.01,0.44,2.85,1.33,78.71,57.97,4.63,141.87,2017,2025-08-15 15:19:00,CLE,85.46M,64.01M,1,-,53,24.4,77946523,32438232
