Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Josh Allen,22,Rook,11,"169 for 320, 2,074 yards, 10 td, 12 int, & 89 rushes for 631 yards and 8 td",,Starters_1,BUF,2018,2025-08-15 18:54:29
RB,LeSean McCoy,30,9,13,"161 rushes for 514 yards, 3 td, & 34 catches for 238 yards and 0 td",,Starters_1,BUF,2018,2025-08-15 18:54:29
FB,Patrick DiMarco,29,6,5,"1 rush for 9 yards, 0 td, & 3 catches for 62 yards and 0 td",,Starters_1,BUF,2018,2025-08-15 18:54:29
WR,Kelvin Benjamin,27,4,10,"23 catches for 354 yards, 1 td",,Starters_1,BUF,2018,2025-08-15 18:54:29
WR,Zay Jones,23,1,15,"56 catches for 652 yards, 7 td, & 1 rush for yards and 0 td",,Starters_1,BUF,2018,2025-08-15 18:54:29
TE,Charles Clay,29,7,12,"21 catches for 184 yards, 0 td",,Starters_1,BUF,2018,2025-08-15 18:54:29
LT,Dion Dawkins,24,1,16,1 fumble recovered,,Starters_1,BUF,2018,2025-08-15 18:54:29
LG,Vlad Ducasse,31,8,9,,,Starters_1,BUF,2018,2025-08-15 18:54:29
C,Russell Bodine,26,4,10,,,Starters_1,BUF,2018,2025-08-15 18:54:29
RG,John Miller,25,3,15,,,Starters_1,BUF,2018,2025-08-15 18:54:29
RT,Jordan Mills,28,5,16,,,Starters_1,BUF,2018,2025-08-15 18:54:29
LDE,Trent Murphy,28,4,10,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
LDT,Kyle Williams*,35,12,16,"5.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
RDT,Star Lotulelei,29,5,16,,,Starters_1,BUF,2018,2025-08-15 18:54:29
RDE,Jerry Hughes,30,8,16,"7.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
LLB,Lorenzo Alexander,35,11,8,"6.5 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
MLB,Tremaine Edmunds,20,Rook,15,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
RLB,Matt Milano,24,1,13,"1.0 sacks, 3 interceptions, 3 fumbles recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
LCB,Tre'Davious White,23,1,16,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
RCB,Levi Wallace,23,Rook,7,,,Starters_1,BUF,2018,2025-08-15 18:54:29
SS,Micah Hyde,28,5,15,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
FS,Jordan Poyer,27,5,16,"2.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1,BUF,2018,2025-08-15 18:54:29
