Rank,Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,CLECLE,11-5-0,52,25.7,199101772,29598375,143629461,37636988,17823323
2,DALDAL,6-10-0,52,25.9,191282501,26454777,108629975,56327624,26324902
3,NYJNYJ,2-14-0,53,25.3,182498749,24566915,86529089,42323265,53587595
4,NENE,7-9-0,53,26.6,186649624,24007947,103996819,51523253,31129552
5,JAXJAX,1-15-0,54,25.1,184288252,23369347,87879404,41802593,49890275
6,PHIPHI,4-11-1,52,25.8,200593459,21506475,140155537,36683384,23648938
7,DENDEN,5-11-0,53,25.6,195780141,18179309,102374592,67890159,25389390
8,WASWAS,7-9-0,53,26.1,193135405,15959850,131896856,29758508,31222041
9,MIAMIA,10-6-0,53,25.4,202755153,14969340,156504710,7149972,39015271
10,DETDET,5-11-0,52,26.8,201274115,13034055,136316057,35530716,29102142
11,CINCIN,4-11-1,54,26.2,197637354,10809739,115462613,62583496,19508445
12,INDIND,11-5-0,53,25.8,231385518,8513188,187851538,26052725,17354055
13,CHICHI,8-8-0,53,26.9,204713154,7811988,163818846,23387944,17053964
14,LARLAR,10-6-0,53,25.7,196611667,7270935,153700759,4444760,38466148
15,HOUHOU,4-12-0,55,26.3,210781361,7232473,141313765,45760200,23481796
16,BALBAL,11-5-0,53,26.8,190989245,6920153,135700177,32766124,22407744
17,LACLAC,7-9-0,55,25.5,195831096,6579352,134191298,47294246,14320352
18,PITPIT,12-4-0,54,26.3,194669953,6026871,146851577,33062935,14551441
19,LVLV,8-8-0,53,26.3,214145655,5860656,165917480,37001807,11226368
20,NYGNYG,6-10-0,53,25.9,192619204,4820488,149574151,21703914,21341139
21,CARCAR,5-11-0,53,26.0,204039300,4433177,119293249,30555813,54072638
22,TBTB,11-5-0,54,27.1,199841623,4263627,185308315,6636768,7804140
23,KCKC,14-2-0,51,26.1,216749367,4193094,182730257,15557500,18090810
24,GBGB,13-3-0,52,26.0,199876795,4058809,165749106,25190627,8741462
25,SFSF,6-10-0,55,26.4,202659073,4030878,101109577,84851447,16677649
26,NONO,12-4-0,53,27.0,194082268,3920462,161365733,10173995,22530540
27,TENTEN,11-5-0,51,26.8,216614008,3752451,135619326,49061672,31743410
28,BUFBUF,13-3-0,52,26.7,218228694,2648254,200165512,5333642,12669540
29,ATLATL,4-12-0,54,26.7,199335990,2570690,166160239,2808368,30106983
30,MINMIN,7-9-0,52,25.6,195029407,2364928,112701789,45208660,36982158
31,ARIARI,8-8-0,53,26.7,194162965,2364707,134848837,42808830,16289298
32,SEASEA,12-4-0,52,26.6,200893810,-1255714,166465242,17939400,16453168
