Rank,Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,SFSF,12-5-0,53,26.9,199530464,37989804,154932685,9045205,33313374
2,CLECLE,11-6-0,53,26.9,221895525,29876309,136190604,59731634,23468987
3,WASWAS,4-13-0,53,26.2,219158252,12093648,133719895,36098892,47623965
4,LVLV,8-9-0,52,26.9,223471769,11529499,155882148,7623130,57853191
5,ARIARI,4-13-0,53,25.6,218123776,11175765,107322872,39445510,69784194
6,DALDAL,12-5-0,53,26.1,222101883,10801968,185500694,13268658,20451431
7,CINCIN,9-8-0,53,25.9,215841995,10766741,170878346,37661299,4451550
8,TENTEN,6-11-0,53,26.3,221490310,9408724,128983277,32324162,58841771
9,MINMIN,7-10-0,52,26.5,212737877,8959126,122035441,42572831,46177305
10,JAXJAX,9-8-0,53,26.4,217779453,8947864,194030338,10248599,10665516
11,GBGB,9-8-0,53,25.0,218045716,8737004,120689913,27644641,67234462
12,INDIND,9-8-0,52,25.7,223873320,8299055,150648067,19681463,51418290
13,LACLAC,5-12-0,53,26.1,218514926,8006038,132544014,56597781,27385531
14,ATLATL,7-10-0,54,26.4,222639430,7730237,163895473,30465567,25649790
15,LARLAR,10-7-0,52,26.1,217174558,7693754,131880407,3504814,79381937
16,SEASEA,9-8-0,54,26.2,214977978,7127512,165990770,23585828,23397380
17,NYGNYG,6-11-0,53,25.8,223438031,6182522,129927472,34906607,56451152
18,NYJNYJ,7-10-0,54,26.7,222545781,6034929,143977333,48137923,29031325
19,CARCAR,2-15-0,53,26.9,232771942,5379990,136455085,32384753,62169404
20,CHICHI,7-10-0,52,26.1,227512044,4926812,171087200,17112076,36737468
21,HOUHOU,10-7-0,53,27.2,226978543,4441532,142196787,34938690,47419666
22,DETDET,12-5-0,52,26.0,223408752,3800950,173331167,15877444,32092641
23,TBTB,9-8-0,53,25.9,223680759,3752054,128436935,11012667,81574757
24,NONO,9-8-0,54,27.1,220525665,3635502,138027290,44993108,35175167
25,PITPIT,10-7-0,54,26.4,226300540,2926605,194442075,8498611,21164554
26,KCKC,11-6-0,53,26.0,217621452,2826341,194829168,7838417,12295967
27,PHIPHI,11-6-0,53,26.6,232187112,2566558,160037713,5816176,63868823
28,MIAMIA,11-6-0,53,27.1,223975605,1735990,172821528,28317349,20351028
29,DENDEN,8-9-0,53,26.3,231774113,1129738,173358141,22447627,33296145
30,BALBAL,13-4-0,53,26.9,222562171,1049714,175622212,28547661,15901398
31,NENE,4-13-0,53,26.7,221851422,528826,122696951,66043849,31235322
32,BUFBUF,11-6-0,53,27.0,228637476,-792453,182016009,33210155,10167412
