Rank,Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,CLECLE,-,52,25.3,110066758,28145707,80881583,14954250,13777043
2,JAXJAX,-,53,25.3,120190441,25972675,66805513,17227369,35388734
3,PHIPHI,-,53,26.1,126997784,20416885,108049086,6646601,12059097
4,BUFBUF,-,55,26.0,115151649,18626769,93306218,3370023,18337408
5,MIAMIA,-,53,26.1,112354370,16972957,81123929,18186079,12900362
6,CARCAR,-,53,26.9,110901350,16435031,73225356,19388894,18215100
7,GBGB,-,52,25.7,120681853,11243878,100707865,16836700,3119288
8,TENTEN,-,54,26.4,127458573,8853340,110121914,4241818,12550074
9,CINCIN,-,52,26.4,127056245,7974686,92938874,25979949,8131422
10,TBTB,-,51,26.0,127714333,7597389,91995376,21097643,14407084
11,ARIARI,-,52,27.2,120046145,7517270,92369539,9185244,18449362
12,DENDEN,-,54,27.0,133459603,7405388,97160491,24747756,11515356
13,OAKOAK,-,54,26.3,121159233,6627808,56659660,9161038,54996535
14,NENE,-,53,25.9,124037085,6219259,84784241,22193915,16932929
15,SFSF,-,51,26.9,122183675,4693644,108616465,7843921,5256877
16,NYJNYJ,-,54,26.2,122960176,4672561,80633014,18934169,23236993
17,DALDAL,-,54,25.9,116240089,4359067,72038158,27809946,16379985
18,SEASEA,-,54,25.9,133734928,4073197,101503464,23494782,8377388
19,SDSD,-,53,26.3,120452285,3665563,94062621,13860874,12298555
20,WASWAS,-,53,26.8,107385220,3301013,88700032,13195216,5291972
21,DETDET,-,53,26.8,119769257,2821760,95868619,8997466,14829672
22,HOUHOU,-,53,25.8,123826813,2323913,77438733,39491632,6812448
23,MINMIN,-,54,26.1,128947738,1949746,117391509,7107396,3642189
24,ATLATL,-,53,26.5,122214225,1672075,89778071,15184383,17155771
25,NONO,-,56,26.9,124062501,1660736,97705545,19949750,6214206
26,CHICHI,-,56,27.2,128429835,1583420,103159959,19028125,6199751
27,KCKC,-,52,25.9,136631412,1468615,114803016,2597567,19028711
28,PITPIT,-,54,26.7,125459344,67467,96309954,17925814,10959576
29,BALBAL,-,53,26.3,124106848,-124417,103969958,2598546,17514344
30,STLSTL,-,53,25.1,124333057,-1062720,69722934,39407666,14665104
31,NYGNYG,-,55,26.7,127517255,-2825971,92701902,25637548,8805805
32,INDIND,-,53,26.7,129046015,-3531741,98729480,18665904,10847687
