Rank,Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,CLECLE,7-8-1,53,25.4,181948164,54164796,142452164,13574727,25921273
2,INDIND,10-6-0,52,25.5,144247844,49789659,116290378,15154224,12803242
3,SFSF,4-12-0,54,25.4,199312951,33935479,99114405,72798856,27399690
4,TENTEN,9-7-0,53,26.4,182398711,25140608,117854426,51344033,13200252
5,PITPIT,9-6-1,53,26.0,161685116,19555944,130326198,23196622,8162296
6,NYJNYJ,4-12-0,52,25.6,176796047,17725853,109047126,41761725,25987196
7,HOUHOU,11-5-0,53,25.7,172088725,15060484,140536221,16061363,15491141
8,DALDAL,10-6-0,52,25.5,173992050,11082724,121164619,20272639,32554792
9,BALBAL,10-6-0,53,26.3,170531630,9943487,150160923,5760627,14609080
10,BUFBUF,6-10-0,53,26.4,179596576,9186883,104008378,5244944,70343254
11,CINCIN,6-10-0,53,25.6,180326765,8456694,112195970,59003629,9127166
12,MIAMIA,7-9-0,53,26.4,170259550,7009611,123506032,26658499,20095019
13,NYGNYG,5-11-0,53,26.0,170980782,6584539,117538663,9544257,43897862
14,JAXJAX,5-11-0,53,25.6,198533685,6435054,140722671,36989794,20737620
15,PHIPHI,9-7-0,53,26.9,171556674,6157735,136119127,20530036,14907511
16,OAKOAK,4-12-0,53,26.1,178870237,5956643,115252545,34623459,28994233
17,WASWAS,7-9-0,53,26.3,172795336,5889026,102905158,55268243,14621935
18,ARIARI,3-13-0,53,25.9,172915077,5886709,107921249,24767273,40226555
19,DETDET,6-10-0,53,26.6,175496566,5854745,109575685,41275765,24645116
20,DENDEN,6-10-0,53,25.7,181619996,5788205,114730854,39904965,26980844
21,GBGB,6-9-1,53,25.6,175766368,5368150,124176442,36526400,14982444
22,CHICHI,12-4-0,53,25.9,179461788,5347070,151948529,12109999,15403260
23,ATLATL,7-9-0,53,27.5,173654866,4666533,141338061,23143896,9172909
24,NENE,11-5-0,52,27.5,175832665,4379937,155807993,9033524,10991148
25,KCKC,12-4-0,52,26.0,176891845,2908155,143955068,10074475,22862302
26,LACLAC,12-4-0,53,26.3,177286710,2535340,144473149,17446005,15367556
27,SEASEA,10-6-0,53,25.8,175232879,2514391,124852499,27300461,22740742
28,TBTB,5-11-0,53,26.0,189900886,2494782,157768609,20969254,11163023
29,LARLAR,13-3-0,53,25.9,179876692,1637802,158606483,4444733,16825476
30,NONO,13-3-0,51,26.6,176019524,1467541,138920060,14192161,22778103
31,CARCAR,7-9-0,53,26.9,184474977,-2874661,138090418,33742678,12641881
32,MINMIN,8-7-1,53,26.1,196608422,-5679219,179040838,10457434,7110150
