Feature,Importance,Is_Coach_Feature
TD Passing__hc_Norm,0.002647079,True
Avg_Roster_Age,0.002638064,False
LB_Max_Games_Missed_Pct,0.0025952507,False
TO%__dc_Norm,0.0025820583,True
1stD__dc_Norm,0.0025708484,True
Plays Average Drive__oc_Norm,0.0025681278,True
RZPct__oc_Norm,0.002566112,True
4D%__opp__hc_Norm,0.0025590402,True
OL_Retention_Rate_Pct_crosstab,0.002548427,False
S_Min_Games_Missed_Pct,0.0025374172,False
LB_New_Player_Rate_Pct,0.002524218,False
TE_Departure_Rate_Pct,0.0025178676,False
CB_Players_Count,0.0025047478,False
Y/A Rushing__hc_Norm,0.0025046803,True
Att Rushing__hc_Norm,0.0024936837,True
Int Passing__opp__hc_Norm,0.0024904686,True
1stPy__hc_Norm,0.0024712472,True
TD Passing__opp__hc_Norm,0.0024662255,True
Y/A Rushing__oc_Norm,0.0024622104,True
Avg_Roster_Exp_LB,0.0024576082,False
RB_Net_Change,0.0024239281,False
Yds Passing__dc_Norm,0.0024162945,True
3DAtt__dc_Norm,0.0024160445,True
DL_Avg_Games_Missed_Pct,0.0024139113,False
1stPy__opp__hc_Norm,0.0024080141,True
WR_New_Player_Rate_Pct,0.0023946597,False
Current_Round_5_Picks,0.0023844866,False
Prev_3Yr_Round_7Plus_Picks,0.002383285,False
Int Passing__hc_Norm,0.0023818612,True
Avg_Starter_Age_OL,0.0023676534,False
RB_Players_New,0.0023373622,False
DeadCap_Pct,0.0023269707,False
LB_Retention_Rate_Pct,0.002315794,False
Y/A Rushing__dc_Norm,0.0023114933,True
CB_Players_New,0.0022835443,False
Sc%__opp__hc_Norm,0.0022807566,True
Avg_Roster_Age_S,0.0022660252,False
Avg_Starter_Age_LB,0.002261184,False
Att Passing__dc_Norm,0.0022541468,True
Avg_Starter_Age_CB,0.0022431533,False
Avg_Starter_Exp_S,0.002237698,False
Prev_2Yr_Round_6_Picks,0.0022325271,False
TO__dc_Norm,0.002212431,True
Avg_Roster_Age_WR,0.002210974,False
Avg_Starter_Age_S,0.0022000822,False
CB_Players_Retained,0.0021403732,False
Int Passing__oc_Norm,0.0021342016,True
Avg_Roster_Exp_DL,0.0021271694,False
Avg_Starter_Exp_LB,0.0021268998,False
TO%__hc_Norm,0.0021054028,True
DL_Retention_Rate_Pct,0.002099692,False
TO%__oc_Norm,0.0020722921,True
#Dr__opp__hc_Norm,0.0020679052,True
1stD Passing__hc_Norm,0.002064976,True
RB_Min_Games_Missed_Pct,0.0020529078,False
Yds Penalties__dc_Norm,0.0020386064,True
RB_New_Player_Rate_Pct,0.0019990304,False
1stD Passing__dc_Norm,0.0019689167,True
S_Players_Departed,0.0019684974,False
Prev_2Yr_Round_2_Picks,0.0019635626,False
WR_Min_Games_Missed_Pct,0.001953364,False
Prev_1Yr_Round_7Plus_Picks,0.0019259047,False
Prev_1Yr_Round_1_Picks,0.0018845098,False
OL_Net_Change,0.0018764214,False
3D%__dc_Norm,0.0018465703,True
Avg_Roster_Exp_S,0.0018040371,False
#Dr__oc_Norm,0.0017752692,True
Avg_Roster_Age_CB,0.0017534454,False
4DAtt__opp__hc_Norm,0.0017508027,True
StdDev_Starter_Experience,0.0017397121,False
Team_Pen_Norm,0.0017364967,False
Avg_Roster_Exp_RB,0.001706915,False
OL_New_Player_Rate_Pct,0.0015112888,False
Avg_Roster_Age_RB,0.00143492,False
4DAtt__hc_Norm,0.0014186444,True
TD Rushing__oc_Norm,0.0014017383,True
TE_Min_Games_Missed_Pct,0.0013254965,False
Prev_2Yr_Round_5_Picks,0.0012503206,False
NY/A Passing__oc_Norm,0.0010034406,True
Time Average Drive__opp__hc_Norm,0.0009482888,True
Cmp Passing__opp__hc_Norm,0.0008688885,True
