Primary_Coach,Avg_WAR,WAR_StdDev,Seasons,Total_WAR,Avg_Pred_Impact,Total_Pred_Impact,Avg_Actual_Win,Avg_Pred_Coach,Avg_Pred_Replace,SE,CI_Lower,CI_Upper,Total_CI_Lower,Total_CI_Upper
John Madden,0.1437,0.0721,9,1.2932,0.038,0.3424,0.7371,0.6315,0.5934,0.38,1.41,3.19,12.7,28.7
Kevin O'Connell,0.1202,0.0497,3,0.3607,-0.0015,-0.0045,0.6667,0.5449,0.5464,0.46,-0.05,3.9,-0.2,11.7
Mike McDaniel,0.117,0.0629,3,0.351,0.0437,0.131,0.549,0.4757,0.432,0.58,-0.63,4.37,-1.9,13.1
John Ralston,0.112,0.0345,5,0.5599,0.042,0.2098,0.5071,0.4371,0.3952,0.25,1.11,2.48,5.5,12.4
Kevin Stefanski,0.1099,0.1132,5,0.5494,0.017,0.0852,0.4787,0.3858,0.3688,0.81,-0.49,4.01,-2.5,20.0
Nick Sirianni,0.0978,0.0678,4,0.3914,0.0086,0.0342,0.7059,0.6166,0.608,0.54,-0.16,3.29,-0.6,13.2
Don Shula,0.0951,0.0562,26,2.4724,0.0493,1.2825,0.6632,0.6175,0.5681,0.18,1.16,1.88,30.1,49.0
Kyle Shanahan,0.095,0.0799,8,0.7598,0.0229,0.1834,0.528,0.456,0.433,0.45,0.45,2.59,3.6,20.7
Bill Parcells,0.0845,0.0778,19,1.6062,0.0319,0.6061,0.5688,0.5161,0.4842,0.29,0.75,1.95,14.3,37.1
Gene Stallings,0.0844,0.107,4,0.3375,-0.0039,-0.0158,0.41,0.3216,0.3256,0.86,-1.37,4.07,-5.5,16.3
Mike Vrabel,0.0843,0.0796,6,0.5056,0.0233,0.14,0.5472,0.4862,0.4629,0.52,0.01,2.69,0.1,16.1
Mike Martz,0.083,0.0898,6,0.4981,0.0242,0.1455,0.5979,0.5391,0.5149,0.59,-0.18,2.84,-1.1,17.0
Chuck Pagano,0.0798,0.1587,6,0.4788,-0.0077,-0.0463,0.5521,0.4646,0.4723,1.04,-1.39,3.94,-8.3,23.6
Red Miller,0.0742,0.1018,4,0.2968,0.027,0.1079,0.6518,0.6045,0.5776,0.81,-1.4,3.78,-5.6,15.1
Matt Nagy,0.0715,0.0409,4,0.286,0.0071,0.0282,0.5257,0.4613,0.4542,0.33,0.1,2.19,0.4,8.7
Bill Belichick,0.0688,0.099,29,1.9963,0.0432,1.2537,0.6481,0.6225,0.5792,0.29,0.5,1.7,14.5,49.4
Bum Phillips,0.0678,0.0478,11,0.7459,0.014,0.154,0.5098,0.456,0.442,0.23,0.57,1.6,6.3,17.6
Raymond Berry,0.0644,0.0588,5,0.3219,0.0353,0.1764,0.5567,0.5275,0.4923,0.42,-0.14,2.2,-0.7,11.0
Mike Tomlin,0.064,0.0864,18,1.1523,0.0391,0.7033,0.631,0.6061,0.567,0.33,0.34,1.71,6.1,30.8
Bruce Arians,0.0613,0.0614,8,0.4907,0.0105,0.0836,0.6229,0.5721,0.5616,0.35,0.16,1.8,1.3,14.4
Chuck Fairbanks,0.0586,0.1071,6,0.3518,-0.0132,-0.0793,0.5389,0.467,0.4803,0.7,-0.86,2.74,-5.2,16.4
John Harbaugh,0.0572,0.1031,17,0.9716,0.0242,0.4111,0.6231,0.5901,0.5659,0.4,0.07,1.76,1.1,30.0
Marty Schottenheimer,0.0538,0.0773,20,1.076,0.0325,0.6503,0.6161,0.5949,0.5623,0.28,0.28,1.44,5.6,28.8
Brian Flores,0.0528,0.0498,3,0.1584,-0.0474,-0.1422,0.489,0.3888,0.4362,0.46,-1.13,2.82,-3.4,8.5
George Allen,0.0513,0.058,8,0.4106,0.0294,0.2353,0.6875,0.6656,0.6362,0.33,0.04,1.6,0.4,12.8
Tom Landry,0.0507,0.0618,19,0.9637,0.0489,0.9285,0.6574,0.6555,0.6067,0.23,0.33,1.29,6.4,24.5
Andy Reid,0.0506,0.0879,26,1.3154,0.016,0.4173,0.6501,0.6156,0.5995,0.28,0.24,1.38,6.3,35.8
Sean Payton,0.0503,0.1064,17,0.8545,0.0242,0.4114,0.6192,0.5931,0.5689,0.41,-0.07,1.68,-1.2,28.6
Jimmy Johnson,0.0496,0.0739,9,0.4464,0.0087,0.0784,0.5556,0.5147,0.506,0.39,-0.12,1.7,-1.0,15.3
Chuck Noll,0.0482,0.0888,22,1.0597,0.0343,0.7536,0.5915,0.5776,0.5433,0.3,0.14,1.4,3.1,30.8
Joe Gibbs,0.0477,0.1046,16,0.7637,0.0216,0.3453,0.6287,0.6026,0.581,0.42,-0.13,1.65,-2.1,26.5
Adam Gase,0.0466,0.1133,5,0.2332,-0.0256,-0.1278,0.4,0.3278,0.3534,0.81,-1.51,3.0,-7.5,15.0
Forrest Gregg,0.0463,0.0826,11,0.5093,0.0181,0.1987,0.4796,0.4514,0.4333,0.4,-0.15,1.63,-1.6,17.9
Barry Switzer,0.0457,0.039,4,0.1828,0.0471,0.1882,0.625,0.6263,0.5793,0.31,-0.26,1.72,-1.0,6.9
Bill Cowher,0.0434,0.1086,15,0.6508,0.0244,0.3662,0.6229,0.6039,0.5795,0.45,-0.27,1.66,-4.0,24.8
Don Coryell,0.0429,0.0868,13,0.5577,0.0127,0.1646,0.554,0.5238,0.5111,0.39,-0.15,1.53,-2.0,19.8
Lou Saban,0.0412,0.1116,7,0.2882,0.0039,0.0273,0.4642,0.4269,0.423,0.67,-0.99,2.31,-6.9,16.2
Sean McDermott,0.0397,0.0851,8,0.3172,-0.0135,-0.1083,0.6558,0.6026,0.6161,0.48,-0.5,1.77,-4.0,14.2
Mike Sherman,0.038,0.1198,6,0.2279,0.0147,0.0881,0.5938,0.5705,0.5558,0.78,-1.4,2.62,-8.4,15.7
Matt LaFleur,0.0378,0.105,6,0.227,0.0019,0.0112,0.6728,0.6368,0.635,0.69,-1.16,2.37,-6.9,14.2
Vic Fangio,0.036,0.0543,3,0.1081,-0.0095,-0.0285,0.3873,0.3417,0.3512,0.5,-1.58,2.73,-4.7,8.2
Sean McVay,0.0356,0.0778,8,0.2849,0.0119,0.0949,0.608,0.5842,0.5724,0.44,-0.47,1.61,-3.8,12.9
Ray Malavasi,0.0355,0.1403,5,0.1777,0.0216,0.1081,0.5194,0.5055,0.4839,1.0,-2.22,3.36,-11.1,16.8
Jason Garrett,0.0351,0.0891,9,0.3156,-0.0009,-0.0079,0.5556,0.5196,0.5205,0.48,-0.53,1.66,-4.8,14.9
Ron Rivera,0.0349,0.1068,13,0.4538,0.0027,0.0355,0.4977,0.4655,0.4628,0.47,-0.47,1.59,-6.2,20.7
Jim Harbaugh,0.0328,0.0714,5,0.1641,0.0234,0.1172,0.6857,0.6763,0.6529,0.51,-0.89,1.94,-4.5,9.7
Jerry Glanville,0.0311,0.1053,8,0.249,-0.0125,-0.0997,0.4734,0.4299,0.4423,0.6,-0.91,1.91,-7.3,15.2
Jim Hanifan,0.0298,0.0619,6,0.1789,-0.0103,-0.0619,0.452,0.4118,0.4222,0.4,-0.56,1.52,-3.4,9.1
Pete Carroll,0.0295,0.0949,18,0.5305,0.0127,0.228,0.5869,0.5701,0.5574,0.36,-0.28,1.23,-5.1,22.1
Bill O'Brien,0.0294,0.1848,7,0.2056,-0.0086,-0.0599,0.4643,0.4264,0.4349,1.12,-2.26,3.2,-15.8,22.4
Dan Campbell,0.0286,0.1978,4,0.1145,-0.0412,-0.1646,0.5809,0.5111,0.5523,1.58,-4.58,5.49,-18.3,22.0
Art Shell,0.027,0.1231,6,0.1619,-0.0076,-0.0457,0.5104,0.4758,0.4834,0.8,-1.63,2.5,-9.8,15.0
Dennis Green,0.0263,0.0903,13,0.342,0.0073,0.0945,0.5449,0.5258,0.5186,0.4,-0.45,1.29,-5.9,16.8
Tony Dungy,0.0255,0.0971,13,0.3316,-0.002,-0.0256,0.6683,0.6408,0.6428,0.43,-0.53,1.35,-6.9,17.5
Ron Meyer,0.0253,0.1548,8,0.2024,-0.0017,-0.0134,0.4726,0.4456,0.4473,0.88,-1.67,2.48,-13.3,19.8
Gary Kubiak,0.0249,0.115,10,0.2494,-0.017,-0.1698,0.5154,0.4735,0.4904,0.58,-0.92,1.71,-9.2,17.1
Chuck Knox,0.0249,0.081,22,0.5484,0.0402,0.8834,0.5625,0.5777,0.5376,0.28,-0.18,0.97,-3.9,21.4
Mike Holmgren,0.0245,0.1056,17,0.4167,0.0206,0.3494,0.5919,0.588,0.5674,0.41,-0.48,1.26,-8.1,21.4
Nick Skorich,0.0221,0.1493,4,0.0884,-0.0359,-0.1435,0.5536,0.4956,0.5315,1.19,-3.45,4.15,-13.8,16.6
Mike McCarthy,0.0207,0.1058,18,0.3725,0.0121,0.2181,0.6041,0.5955,0.5834,0.4,-0.51,1.17,-9.2,21.1
Mike Ditka,0.0207,0.1254,14,0.2893,0.0176,0.2469,0.5539,0.5508,0.5332,0.54,-0.83,1.49,-11.6,20.9
Dan Reeves,0.0206,0.1146,23,0.4731,0.0039,0.0907,0.527,0.5104,0.5065,0.38,-0.46,1.12,-10.7,25.8
George Seifert,0.0204,0.1487,11,0.2247,0.034,0.3742,0.6477,0.6613,0.6273,0.72,-1.27,1.92,-14.0,21.2
Dan Devine,0.0201,0.0819,4,0.0805,-0.0076,-0.0304,0.4822,0.4544,0.462,0.66,-1.76,2.41,-7.1,9.6
Kliff Kingsbury,0.02,0.0747,4,0.0801,-0.0007,-0.0027,0.4316,0.4108,0.4115,0.6,-1.58,2.22,-6.3,8.9
Jim Mora Sr,0.02,0.102,15,0.3006,0.0184,0.2758,0.5325,0.5308,0.5125,0.42,-0.58,1.22,-8.8,18.4
Mike Zimmer,0.0185,0.1445,8,0.1478,-0.0023,-0.0185,0.5627,0.5419,0.5443,0.82,-1.64,2.23,-13.1,17.8
Walt Michaels,0.0162,0.0946,6,0.0972,-0.0209,-0.1252,0.4645,0.4275,0.4483,0.62,-1.33,1.85,-8.0,11.1
Tom Flores,0.0153,0.1549,12,0.1838,-0.0007,-0.0087,0.5394,0.5233,0.524,0.72,-1.33,1.82,-16.0,21.8
Marv Levy,0.0142,0.1035,16,0.2266,-0.0005,-0.0087,0.5617,0.547,0.5476,0.41,-0.66,1.11,-10.5,17.8
Bud Grant,0.014,0.0808,15,0.2106,0.0287,0.4307,0.6332,0.6478,0.6191,0.33,-0.49,0.94,-7.4,14.1
Bobby Ross,0.0135,0.0622,9,0.1212,0.0068,0.0616,0.5409,0.5343,0.5274,0.33,-0.55,0.98,-4.9,8.8
Bart Starr,0.0097,0.0604,9,0.0872,-0.026,-0.2344,0.4141,0.3784,0.4044,0.32,-0.59,0.9,-5.3,8.1
John Fox,0.0091,0.081,16,0.145,-0.0125,-0.2006,0.5195,0.4979,0.5105,0.32,-0.54,0.84,-8.7,13.4
Jeff Fisher,0.0089,0.0831,21,0.1859,-0.0115,-0.2424,0.5161,0.4957,0.5073,0.29,-0.46,0.75,-9.7,15.7
Jack Pardee,0.0067,0.1129,11,0.0734,0.0013,0.0144,0.514,0.5086,0.5073,0.54,-1.11,1.32,-12.2,14.5
Wade Phillips,0.0058,0.1723,9,0.0526,0.0092,0.0829,0.5556,0.5589,0.5497,0.92,-2.03,2.21,-18.2,19.9
Charley Winner,0.0057,0.1218,3,0.017,-0.0075,-0.0226,0.4431,0.4299,0.4374,1.13,-4.75,4.93,-14.2,14.8
Dick Jauron,0.005,0.0639,9,0.0453,-0.0236,-0.2128,0.4259,0.3972,0.4209,0.34,-0.71,0.87,-6.4,7.8
Robert Saleh,0.0026,0.0446,4,0.0104,-0.0237,-0.0948,0.3647,0.3384,0.3621,0.36,-1.09,1.18,-4.4,4.7
Jim Caldwell,0.0025,0.2009,7,0.0176,-0.0095,-0.0664,0.5536,0.5416,0.5511,1.21,-2.93,3.01,-20.5,21.1
Todd Bowles,0.0025,0.1,7,0.0175,-0.0127,-0.0892,0.4412,0.4259,0.4387,0.6,-1.44,1.52,-10.1,10.6
Norm Van Brocklin,0.0011,0.0648,5,0.0056,-0.02,-0.1001,0.4571,0.436,0.456,0.46,-1.27,1.3,-6.3,6.5
Doug Pederson,0.001,0.1054,8,0.0079,0.003,0.0242,0.4938,0.4958,0.4928,0.6,-1.39,1.43,-11.2,11.4
Ray Perkins,-0.002,0.0718,8,-0.0163,-0.021,-0.1682,0.3635,0.3445,0.3656,0.41,-0.99,0.93,-7.9,7.4
