Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Drew Brees*,32,10,16,"468 for 657, 5,476 yards, 46 td, 14 int, & 21 rushes for 86 yards and 1 td",,Starters_1,NOR,2011,2025-08-15 19:26:11
RB,Pierre Thomas,27,4,7,"110 rushes for 562 yards, 5 td, & 50 catches for 425 yards and 1 td",,Starters_1,NOR,2011,2025-08-15 19:26:11
FB,Jed Collins,25,1,11,"4 rushes for 4 yards, 2 td, & 11 catches for 50 yards and 2 td",,Starters_1,NOR,2011,2025-08-15 19:26:11
WR,Devery Henderson,29,7,13,"32 catches for 503 yards, 2 td, & 1 rush for 9 yards and 0 td",,Starters_1,NOR,2011,2025-08-15 19:26:11
WR,Robert Meachem,27,3,8,"40 catches for 620 yards, 6 td, & 4 rushes for 18 yards and 0 td",,Starters_1,NOR,2011,2025-08-15 19:26:11
TE,Jimmy Graham*,25,1,11,"99 catches for 1,310 yards, 11 td",,Starters_1,NOR,2011,2025-08-15 19:26:11
LT,Jermon Bushrod*,27,4,16,,,Starters_1,NOR,2011,2025-08-15 19:26:11
LG,Carl Nicks*+,26,3,16,,,Starters_1,NOR,2011,2025-08-15 19:26:11
C,Brian De La Puente,26,1,12,,,Starters_1,NOR,2011,2025-08-15 19:26:11
RG,Jahri Evans*+,28,5,16,,,Starters_1,NOR,2011,2025-08-15 19:26:11
RT,Zach Strief,28,5,11,,,Starters_1,NOR,2011,2025-08-15 19:26:11
LDE,Cameron Jordan,22,Rook,15,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
NT,Aubrayo Franklin,31,8,9,,,Starters_1,NOR,2011,2025-08-15 19:26:11
RDE,Sedrick Ellis,26,3,15,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
LOLB,Will Smith,30,7,14,"6.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
LILB,Jo-Lonn Dunbar,26,3,14,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
RILB,Jonathan Vilma,29,7,11,"0.0 sacks, 0 interceptions, 3 fumbles recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
ROLB,Scott Shanle,32,8,15,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
LCB,Jabari Greer,29,7,16,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
RCB,Tracy Porter,25,3,11,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
SS,Roman Harper,29,5,16,"7.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
FS,Malcolm Jenkins,24,2,15,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NOR,2011,2025-08-15 19:26:11
