Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
SDG,1974,QB,Dan Fouts,23,1,11,"115 for 237, 1,732 yards, 8 td, 13 int, & 19 rushes for 63 yards and 1 td",,Starters_1
SDG,1974,RB,Don Woods,23,Rook,9,"227 rushes for 1,162 yards, 7 td, & 26 catches for 349 yards and 3 td",,Starters_1
SDG,1974,FB,Bo Matthews,23,Rook,8,"95 rushes for 328 yards, 4 td, & 12 catches for 90 yards and 0 td",,Starters_1
SDG,1974,WR,Harrison Davis,22,Rook,7,"18 catches for 432 yards, 2 td, & 2 rushes for -7 yards and 0 td",,Starters_1
SDG,1974,WR,Gary Garrison,30,8,14,"41 catches for 785 yards, 5 td",,Starters_1
SDG,1974,TE,Wayne Stewart,27,5,13,"19 catches for 283 yards, 1 td",,Starters_1
SDG,1974,LT,Terry Owens,30,8,13,1 fumble recovered,,Starters_1
SDG,1974,LG,Doug Wilkerson,27,4,14,,,Starters_1
SDG,1974,C,Carl Mauck,27,5,14,,,Starters_1
SDG,1974,RG,Ira Gordon,27,4,14,,,Starters_1
SDG,1974,RT,Russ Washington*,28,6,14,1 fumble recovered,,Starters_1
SDG,1974,LDE,Pete Lazetich,24,2,7,,,Starters_1
SDG,1974,LDT,Dave Rowe,29,7,14,"0 interceptions, 2 fumbles recovered",,Starters_1
SDG,1974,RDT,Robert Brown,35,8,13,"0 interceptions, 1 fumble recovered",,Starters_1
SDG,1974,RDE,Coy Bacon,32,6,14,,,Starters_1
SDG,1974,LLB,Don Goode,23,Rook,7,,,Starters_1
SDG,1974,MLB,Charles Anthony,22,Rook,9,"1 interception, 2 fumbles recovered",,Starters_1
SDG,1974,RLB,Floyd Rice,25,3,12,"3 interceptions, 0 fumbles recovered",,Starters_1
SDG,1974,LCB,Bob Howard,30,7,12,"3 interceptions, 0 fumbles recovered",,Starters_1
SDG,1974,RCB,Sam Williams,22,Rook,12,"1 interception, 1 fumble recovered",,Starters_1
SDG,1974,SS,Chris Fletcher,26,4,12,"4 interceptions, 0 fumbles recovered",,Starters_1
SDG,1974,FS,Joe Beauchamp,30,8,10,"1 interception, 2 fumbles recovered",,Starters_1
