Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,John Skelton,24,2,6,"109 for 201, 1,132 yards, 2 td, 9 int, & 4 rushes for 5 yards and 0 td",,Starters_1,CRD,2012,2025-08-15 18:47:42
RB,Beanie Wells,24,3,7,"88 rushes for 234 yards, 5 td, & 1 catch for 24 yards and 0 td",,Starters_1,CRD,2012,2025-08-15 18:47:42
WR,Larry Fitzgerald*,29,8,16,"71 catches for 798 yards, 4 td",,Starters_1,CRD,2012,2025-08-15 18:47:42
WR,Andre Roberts,24,2,15,"64 catches for 759 yards, 5 td, & 4 rushes for 29 yards and 0 td",,Starters_1,CRD,2012,2025-08-15 18:47:42
TE,Rob Housler,24,1,9,"45 catches for 417 yards, 0 td",,Starters_1,CRD,2012,2025-08-15 18:47:42
TE,Jeff King,29,6,12,"17 catches for 129 yards, 0 td",,Starters_1,CRD,2012,2025-08-15 18:47:42
LT,D'Anthony Batiste,30,5,10,,,Starters_1,CRD,2012,2025-08-15 18:47:42
LG,Daryn Colledge,30,6,16,,,Starters_1,CRD,2012,2025-08-15 18:47:42
C,Lyle Sendlein,28,5,11,,,Starters_1,CRD,2012,2025-08-15 18:47:42
RG,Adam Snyder,30,7,14,,,Starters_1,CRD,2012,2025-08-15 18:47:42
RT,Bobby Massie,23,Rook,16,,,Starters_1,CRD,2012,2025-08-15 18:47:42
LDE,Calais Campbell,26,4,12,"6.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
NT,Dan Williams,25,2,11,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
RDE,Darnell Dockett,31,8,14,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
LOLB,Sam Acho,24,1,16,"4.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
LILB,Paris Lenon,35,10,16,"2.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
RILB,Daryl Washington*,26,2,16,"9.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
ROLB,O'Brien Schofield,25,2,9,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
LCB,Patrick Peterson*,22,1,16,"0.0 sacks, 7 interceptions, 5 fumbles recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
RCB,William Gay,27,5,15,"1.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
SS,Adrian Wilson,33,11,14,"3.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
FS,Kerry Rhodes,30,7,15,"1.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,CRD,2012,2025-08-15 18:47:42
